id,Age,L_O_S,Dropped_Calls,Peak_calls_Sum,Peak_mins_Sum,OffPeak_calls_Sum,OffPeak_mins_Sum,Weekend_calls_Sum,Weekend_mins_Sum,International_mins_Sum,Nat_call_cost_Sum,AvePeak,AveOffPeak,AveWeekend,National_calls,National mins,AveNational,All_calls_mins,Dropped_calls_ratio,Mins_charge,call_cost_per_min,actual call cost,Total_call_cost,Total_Cost,average cost min,Peak ratio,OffPeak ratio,Weekend ratio,Nat-InterNat Ratio,Connect_Date,Gender_F,Gender_M,tariff_CAT 100,tariff_CAT 200,tariff_CAT 50,tariff_Play 100,tariff_Play 300,Handset_ASAD170,Handset_ASAD90,Handset_BS110,Handset_BS210,Handset_CAS30,Handset_CAS60,Handset_S50,Handset_S80,Handset_SOP10,Handset_SOP20,Handset_WC95,Usage_Band_High,Usage_Band_Low,Usage_Band_Med,Usage_Band_MedHigh,Usage_Band_MedLow,Tariff_OK_High CAT 100,Tariff_OK_High CAT 50,Tariff_OK_High Play 100,Tariff_OK_OK,high Dropped calls_F,high Dropped calls_T,No Usage_F,No Usage_T,target
K324860,25.0,51.866667,8.0,134.0,639.6,133.0,486.9,26.0,45.0,95.755028,0.0,4.773134,3.660902,1.730769,293.0,1171.5,3.998294,1267.255028,0.01365187713,-28.5,7.729834,0.0,28.726508,178.726508,0.141034,0.545967,0.415621,0.038412,0.081737,10097,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K412380,26.0,32.833333,14.0,6.0,15.0,76.0,200.099999,10.0,48.5,49.038434,0.0,2.5,2.632895,4.85,92.0,263.599999,2.865217,312.638433,0.07608695652,-336.400001,6.138088,0.0,19.615374,79.555374,0.254464,0.056904,0.759105,0.183991,0.186034,9526,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
K175310,21.0,11.966667,2.0,488.0,1050.6,40.0,370.2,24.0,47.0,364.06027,22.974095,2.152869,9.255,1.958333,552.0,1467.8,2.659058,1831.86027,0.001811594203,267.8,8.578825,22.974095,132.192176,282.192176,0.154047,0.715765,0.252214,0.032021,0.248031,8900,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K216040,21.0,55.6,7.0,30.0,55.8,110.0,257.699999,7.0,43.8,58.459778,0.0,1.86,2.342727,6.257143,147.0,357.299999,2.430612,415.759777,0.02380952381,-242.700001,8.123426,0.0,23.383911,83.323911,0.200414,0.156171,0.721243,0.122586,0.163615,10209,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K190610,22.0,51.9,10.0,335.0,999.600001,50.0,152.399999,22.0,84.600001,243.723454,3.309272,2.983881,3.048,3.845455,407.0,1236.600001,3.038329,1480.323455,0.01228501229,36.600001,9.041727,3.309272,76.426308,226.426308,0.152957,0.808345,0.123241,0.068413,0.197092,10098,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K376370,47.0,15.566667,0.0,54.0,279.0,61.0,129.899999,7.0,67.199999,139.132295,19.12466,5.166667,2.129508,9.6,122.0,476.099998,3.902459,615.232293,0.0,176.099998,10.860113,19.12466,60.864348,144.264348,0.234488,0.586011,0.272842,0.141147,0.292233,9008,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K234800,18.0,15.3,1.0,170.0,807.0,23.0,48.300001,10.0,69.500001,25.976079,44.582734,4.747059,2.1,6.95,203.0,924.800002,4.555665,950.776081,0.002463054187,324.800002,13.726211,44.582734,52.375557,157.375557,0.165523,0.872621,0.052228,0.075151,0.028088,9000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K256750,44.0,54.633333,0.0,83.0,725.399999,16.0,171.600001,50.0,98.399999,2.76684,48.584864,8.739759,10.725,1.968,149.0,995.399999,6.680537,998.166839,0.0,395.399999,12.287523,48.584864,49.414916,154.414916,0.154699,0.728752,0.172393,0.098855,0.00278,10180,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
K187670,22.0,37.066667,1.0,212.0,1278.0,36.0,72.0,10.0,73.199999,359.433684,21.181416,6.028302,2.0,7.32,258.0,1423.199999,5.516279,1782.633683,0.001937984496,223.199999,9.489882,21.181416,129.011522,279.011522,0.156516,0.897976,0.05059,0.051433,0.252553,9653,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K209810,16.0,52.033333,4.0,90.0,438.0,5.0,436.8,50.0,100.5,319.403233,0.0,4.866667,87.36,2.01,145.0,975.3,6.726207,1294.703233,0.01379310345,-824.7,12.329129,0.0,127.761293,205.701293,0.158879,0.449093,0.447862,0.103045,0.327492,10102,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K410220,23.0,45.566667,14.0,227.0,1281.0,148.0,813.299999,20.0,46.799999,551.738868,75.207563,5.643172,5.49527,2.34,395.0,2141.099998,5.420506,2692.838866,0.01772151899,941.099998,7.991453,75.207564,240.729224,390.729224,0.145099,0.598291,0.379851,0.021858,0.257689,9908,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1
K208440,24.0,34.733333,1.0,83.0,307.800001,8.0,548.4,34.0,76.199999,213.929628,0.0,3.708434,68.55,2.241176,125.0,932.4,7.4592,1146.329628,0.004,-867.6,9.592664,0.0,85.571851,163.511851,0.142639,0.330116,0.58816,0.081725,0.22944,9583,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K217220,47.0,57.633333,0.0,63.0,103.800001,3.0,221.7,10.0,60.0,8.215184,0.0,1.647619,73.9,6.0,76.0,385.500001,5.072368,393.715185,0.0,-214.499999,10.385214,0.0,3.286074,63.226074,0.160588,0.269261,0.575097,0.155642,0.02131,10270,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K210160,24.0,47.533333,1.0,45.0,369.0,226.0,454.8,7.0,72.0,280.962761,0.0,8.2,2.012389,10.285714,278.0,895.8,3.222302,1176.762761,0.001798561151,-904.2,11.474213,0.0,112.385104,190.325104,0.161736,0.411922,0.507703,0.080375,0.313645,9967,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K307120,20.0,48.333333,1.0,842.0,1837.8,91.0,216.9,0.0,0.0,99.695884,82.889281,2.18266,2.383516,0.0,933.0,2054.7,2.202251,2154.395884,0.0005359056806,854.7,9.472186,80.958771,110.867537,260.867537,0.121086,0.894437,0.105563,0.0,0.048521,9991,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K171580,13.0,20.8,1.0,341.0,978.599999,120.0,594.3,11.0,26.400001,268.740677,32.181438,2.869795,4.9525,2.4,472.0,1599.3,3.388347,1868.040677,0.001059322034,399.3,8.059464,32.181438,112.803641,262.803641,0.140684,0.611893,0.3716,0.016507,0.168036,9165,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K165830,17.0,35.6,1.0,256.0,446.399999,146.0,325.800001,19.0,43.499999,256.95682,22.589399,1.74375,2.231507,2.289474,421.0,815.699999,1.93753,1072.656819,0.001187648456,215.699999,10.4726,22.589399,99.676445,204.676445,0.190813,0.54726,0.399412,0.053328,0.315014,9609,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K219430,12.0,23.233333,2.0,25.0,62.400001,30.0,130.499999,69.0,130.0,28.604247,0.0,2.496,4.35,1.884058,124.0,322.9,2.604032,351.504247,0.008064516129,-277.1,8.864974,0.0,11.441699,71.381699,0.203075,0.193249,0.40415,0.402601,0.088585,9238,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K206560,19.0,32.833333,0.0,176.0,480.0,147.0,425.400001,4.0,76.8,190.952318,0.0,2.727273,2.893878,19.2,327.0,982.200001,3.00367,1173.152319,0.0,-817.799999,13.240073,0.0,76.380927,154.320927,0.131544,0.488699,0.433109,0.078192,0.194413,9526,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K315130,35.0,18.266667,1.0,500.0,825.6,123.0,205.800001,3.0,6.6,35.762521,0.0,1.6512,1.673171,2.2,626.0,1038.000001,1.658147,1073.762522,0.0007987220447,-161.999999,8.976879,0.0,10.728756,160.728756,0.149687,0.795376,0.198266,0.006358,0.034453,9089,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K393050,32.0,40.966667,1.0,39.0,199.8,281.0,675.6,24.0,66.6,23.546694,0.0,5.123077,2.40427,2.775,344.0,942.0,2.738372,965.546694,0.001453488372,-858.0,6.878344,0.0,9.418678,87.358678,0.090476,0.212102,0.717197,0.070701,0.024996,9770,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K225500,63.0,43.833333,1.0,19.0,126.600002,14.0,126.600002,1.0,7.8,53.409695,0.0,6.663158,9.042857,7.8,34.0,261.000004,7.676471,314.409699,0.01470588235,-338.999996,14.701149,0.0,21.363878,81.303878,0.258592,0.485057,0.485057,0.029885,0.204635,9856,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K182220,15.0,10.366667,1.0,677.0,1697.399999,88.0,442.199999,6.0,17.0,194.36648,85.475666,2.507238,5.025,2.833333,771.0,2156.599998,2.797147,2350.966478,0.0006485084306,956.599998,8.935361,85.475665,143.785609,293.785609,0.124964,0.787072,0.205045,0.007883,0.090126,8852,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K315630,66.0,23.066667,4.0,520.0,1050.0,68.0,381.0,2.0,47.4,173.487926,23.806365,2.019231,5.602941,23.7,590.0,1478.4,2.505763,1651.887926,0.003389830508,278.4,8.551136,23.806364,75.852741,225.852741,0.136724,0.710227,0.257711,0.032062,0.117348,9233,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K124560,29.0,47.266667,5.0,724.0,1109.4,171.0,291.0,31.0,106.0,369.113651,26.602535,1.53232,1.701754,3.419355,926.0,1506.4,1.626782,1875.513651,0.002699784017,306.4,8.682289,26.602533,137.336628,287.336628,0.153204,0.736458,0.193176,0.070366,0.24503,9959,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K301450,38.0,17.266667,2.0,147.0,478.2,45.0,175.8,14.0,39.0,168.535435,11.067403,3.253061,3.906667,2.785714,206.0,693.0,3.364078,861.535435,0.004854368932,93.0,11.900433,11.067403,61.628033,166.628033,0.193408,0.690043,0.25368,0.056277,0.243197,9059,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K347180,17.0,36.066667,1.0,75.0,641.4,28.0,158.1,36.0,69.0,70.647489,33.25412,8.552,5.646429,1.916667,139.0,868.5,6.248201,939.147489,0.003597122302,268.5,12.385147,33.254119,54.448366,159.448366,0.16978,0.738515,0.182038,0.079447,0.081344,9623,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
K220260,24.0,47.8,2.0,75.0,156.6,18.0,80.1,44.0,82.5,82.434577,0.0,2.088,4.45,1.875,137.0,319.2,2.329927,401.634577,0.007299270073,-280.8,14.81203,0.0,32.973831,92.913831,0.231339,0.490602,0.25094,0.258459,0.258254,9975,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1
