Poster,PosterParty,TweetDate,TotalTweetCount
Joris Vandenbroucke,Vooruit,2024-03-18,47
Ben Achour Malik,PS,2024-02-20,39
Ben Achour Malik,PS,2024-02-03,35
Marie Christine Marghem,MR,2024-04-29,34
Dominiek Sneppe,VB,2024-03-24,33
Patrick Prévot,PS,2024-03-01,32
Frank Troosters,VB,2024-03-25,30
Raoul Hedebouw,PVDA-PTB,2024-05-01,30
Theo Francken MP,N-VA,2024-03-15,30
Ben Achour Malik,PS,2024-04-03,29
Dominiek Sneppe,VB,2024-04-04,29
Dominiek Sneppe,VB,2024-03-13,28
Dominiek Sneppe,VB,2024-04-25,28
Ben Achour Malik,PS,2024-04-02,27
Eric THIEBAUT,PS,2024-03-06,27
Theo Francken MP,N-VA,2024-04-07,26
Marie Christine Marghem,MR,2024-01-26,26
Dominiek Sneppe,VB,2024-04-18,26
Frank Troosters,VB,2024-03-16,26
Joris Vandenbroucke,Vooruit,2024-04-17,26
Ben Achour Malik,PS,2024-02-05,26
François De Smet,DéFI,2024-03-17,25
Joris Vandenbroucke,Vooruit,2024-04-26,25
Theo Francken MP,N-VA,2024-03-30,24
Eric THIEBAUT,PS,2024-03-01,24
Theo Francken MP,N-VA,2024-04-14,24
Eric THIEBAUT,PS,2024-04-02,24
Frank Troosters,VB,2024-03-01,24
Theo Francken MP,N-VA,2024-04-18,23
Ben Achour Malik,PS,2024-04-13,22
Frank Troosters,VB,2024-04-27,22
Joris Vandenbroucke,Vooruit,2024-04-12,22
Theo Francken MP,N-VA,2024-03-13,22
Sofie Merckx,PVDA-PTB,2024-04-24,22
Joris Vandenbroucke,Vooruit,2024-04-04,22
Eric THIEBAUT,PS,2024-04-30,21
Theo Francken MP,N-VA,2024-04-06,21
Ben Achour Malik,PS,2024-04-23,21
Theo Francken MP,N-VA,2024-03-21,21
Frank Troosters,VB,2024-03-14,21
Ben Achour Malik,PS,2024-02-18,21
Theo Francken MP,N-VA,2024-04-16,21
Katleen Bury,VB,2024-03-24,21
Marie Christine Marghem,MR,2024-04-18,21
Theo Francken MP,N-VA,2024-04-13,21
Frank Troosters,VB,2024-03-26,21
Tomas Roggeman,N-VA,2024-04-16,21
Theo Francken MP,N-VA,2024-01-30,21
Peter Mertens MP,PVDA-PTB,2024-03-05,21
Joris De Vriendt,VB,2024-02-27,21
Eric THIEBAUT,PS,2024-03-04,20
Dominiek Sneppe,VB,2024-05-02,20
Theo Francken MP,N-VA,2024-04-25,20
Raoul Hedebouw,PVDA-PTB,2024-03-10,20
Annick Ponthier,VB,2024-03-25,20
Ben Achour Malik,PS,2024-01-31,20
Frank Troosters,VB,2024-03-13,20
Joris De Vriendt,VB,2024-02-29,20
Dominiek Sneppe,VB,2024-02-27,20
Frank Troosters,VB,2024-02-29,20
Marie Christine Marghem,MR,2024-04-12,20
Dominiek Sneppe,VB,2024-02-22,20
Eric THIEBAUT,PS,2024-03-16,20
François De Smet,DéFI,2024-04-04,20
Eric THIEBAUT,PS,2024-03-25,20
Frank Troosters,VB,2024-02-22,20
Dominiek Sneppe,VB,2024-03-22,20
Marie Christine Marghem,MR,2024-01-25,19
François De Smet,DéFI,2024-04-27,19
Patrick Prévot,PS,2024-01-30,19
Gilles Vanden Burre,Ecolo-Groen,2024-04-10,19
Dominiek Sneppe,VB,2024-04-29,19
Dominiek Sneppe,VB,2024-04-23,19
Eric THIEBAUT,PS,2024-04-03,19
Eric THIEBAUT,PS,2024-04-28,19
Eric THIEBAUT,PS,2024-02-22,19
Theo Francken MP,N-VA,2024-02-24,19
Eric THIEBAUT,PS,2024-04-13,19
Theo Francken MP,N-VA,2024-03-17,19
Tomas Roggeman,N-VA,2024-02-22,19
Frank Troosters,VB,2024-04-04,19
Eric THIEBAUT,PS,2024-02-27,19
Eric THIEBAUT,PS,2024-03-13,19
Frank Troosters,VB,2024-03-06,19
Eric THIEBAUT,PS,2024-03-07,19
Eric THIEBAUT,PS,2024-03-02,19
Theo Francken MP,N-VA,2024-04-10,19
Eric THIEBAUT,PS,2024-04-12,19
Barbara Pas,VB,2024-03-25,18
Tomas Roggeman,N-VA,2024-04-26,18
Dominiek Sneppe,VB,2024-02-29,18
Joris Vandenbroucke,Vooruit,2024-02-27,18
Joris Vandenbroucke,Vooruit,2024-04-09,18
Theo Francken MP,N-VA,2024-02-16,18
Sofie Merckx,PVDA-PTB,2024-03-12,18
Tomas Roggeman,N-VA,2024-04-25,18
Sofie Merckx,PVDA-PTB,2024-04-17,18
Frank Troosters,VB,2024-03-03,18
Joris De Vriendt,VB,2024-04-29,18
Theo Francken MP,N-VA,,18
Katleen Bury,VB,2024-02-27,18
Catherine Fonck,Les Engagés,2024-02-18,18
Sofie Merckx,PVDA-PTB,2024-04-16,18
Eric THIEBAUT,PS,2024-02-26,18
Frieda Gijbels,N-VA,2023-12-15,18
Frank Troosters,VB,2024-03-28,18
Tomas Roggeman,N-VA,2024-03-13,17
Sofie Merckx,PVDA-PTB,2024-01-27,17
Ben Achour Malik,PS,2024-04-14,17
Ben Achour Malik,PS,2024-02-08,17
Dominiek Sneppe,VB,2024-03-18,17
Frank Troosters,VB,2024-02-28,17
Sander Loones,N-VA,2024-04-18,17
Marie Christine Marghem,MR,2024-03-26,17
Eric THIEBAUT,PS,2024-04-10,17
Marie Christine Marghem,MR,2024-01-30,17
Catherine Fonck,Les Engagés,2024-03-15,17
Peter Mertens MP,PVDA-PTB,2024-02-29,17
Sophie Rohonyi,DéFI,2024-03-18,17
Eric THIEBAUT,PS,2024-05-01,17
Joris De Vriendt,VB,2024-03-12,16
Theo Francken MP,N-VA,2024-04-04,16
Eric THIEBAUT,PS,2024-04-14,16
Joris De Vriendt,VB,2024-04-03,16
Ben Achour Malik,PS,2024-02-29,16
